variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
projcos16,projcos,honest_homo,eval_027,checkpoint_specific,99.0,1.5,256,1024,3072,125318,125318,2132,32,96,126384,126384,252987,253051,1.7285,1.669,0.431834,0.321792,0.047916,3.767208,4.199042,0,,,187
projcos16,projcos,honest_homo,eval_028,checkpoint_specific,99.0,1.5,256,1024,3072,125330,125330,2132,32,96,126396,126396,253011,253075,1.715875,1.727458,0.387709,0.316333,0.0485,3.808166,4.195875,0,,,187
projcos16,projcos,honest_homo,eval_029,checkpoint_specific,99.0,1.5,256,1024,3072,125406,125406,2132,32,96,126472,126472,253163,253227,1.617625,1.608375,0.3305,0.314084,0.041792,3.581876,3.912376,0,,,187
projcos16,projcos,honest_homo,eval_030,checkpoint_specific,99.0,1.5,256,1024,3072,94632,94632,2132,32,96,95698,95698,191615,191679,1.604791,1.5805,0.330584,0.2985,0.042667,3.526458,3.857042,0,,,187
projcos16,projcos,honest_homo,eval_031,checkpoint_specific,99.0,1.5,256,1024,3072,109933,109933,2132,32,96,110999,110999,222217,222281,1.597042,1.543417,0.327375,0.317458,0.044708,3.502625,3.83,0,,,187
projcos16,projcos,honest_homo,eval_032,checkpoint_specific,99.0,1.5,256,1024,3072,117742,117742,2132,32,96,118808,118808,237835,237899,1.678375,1.699,0.378875,0.315542,0.05325,3.746167,4.125042,0,,,187
projcos16,projcos,honest_homo,eval_033,checkpoint_specific,99.0,1.5,256,1024,3072,102412,102412,2132,32,96,103478,103478,207175,207239,1.648042,1.550667,0.321875,0.304334,0.042,3.545043,3.866918,0,,,187
projcos16,projcos,honest_homo,eval_034,checkpoint_specific,99.0,1.5,256,1024,3072,102360,102360,2132,32,96,103426,103426,207071,207135,1.570667,1.600459,0.339958,0.299292,0.043084,3.513502,3.85346,0,,,187
projcos16,projcos,honest_homo,eval_035,checkpoint_specific,99.0,1.5,256,1024,3072,102369,102369,2132,32,96,103435,103435,207089,207153,1.695084,1.625917,0.364584,0.30025,0.047625,3.668876,4.03346,0,,,187
projcos16,projcos,honest_homo,eval_036,checkpoint_specific,99.0,1.5,256,1024,3072,102345,102345,2132,32,96,103411,103411,207041,207105,1.727375,1.681541,0.359833,0.328208,0.044375,3.781499,4.141332,0,,,187
projcos16,projcos,honest_homo,eval_037,checkpoint_specific,99.0,1.5,256,1024,3072,133072,133072,2132,32,96,134138,134138,268495,268559,1.64225,1.560875,0.385417,0.337625,0.042416,3.583166,3.968583,0,,,187
projcos16,projcos,honest_homo,eval_038,checkpoint_specific,99.0,1.5,256,1024,3072,133104,133104,2132,32,96,134170,134170,268559,268623,1.644458,1.76775,0.425334,0.355208,0.048542,3.815958,4.241292,0,,,187
projcos16,projcos,honest_homo,eval_039,checkpoint_specific,99.0,1.5,256,1024,3072,133130,133130,2132,32,96,134196,134196,268611,268675,1.655208,1.631542,0.365375,0.340541,0.043541,3.670832,4.036207,0,,,187
projcos16,projcos,honest_homo,eval_040,checkpoint_specific,99.0,1.5,256,1024,3072,102351,102351,2132,32,96,103417,103417,207053,207117,1.572584,1.616375,0.354625,0.378709,0.0465,3.614168,3.968793,0,,,187
projcos16,projcos,honest_homo,eval_041,checkpoint_specific,99.0,1.5,256,1024,3072,117781,117781,2132,32,96,118847,118847,237913,237977,1.746542,1.568541,0.341334,0.310417,0.043292,3.668792,4.010126,0,,,187
projcos16,projcos,honest_homo,eval_042,checkpoint_specific,99.0,1.5,256,1024,3072,125483,125483,2132,32,96,126549,126549,253317,253381,1.597208,1.67125,0.341125,0.316542,0.0455,3.6305,3.971625,0,,,187
projcos16,projcos,honest_homo,eval_043,checkpoint_specific,99.0,1.5,256,1024,3072,110095,110095,2132,32,96,111161,111161,222541,222605,1.642333,1.59425,0.340125,0.301834,0.043042,3.581459,3.921584,0,,,187
projcos16,projcos,honest_homo,eval_044,checkpoint_specific,99.0,1.5,256,1024,3072,110045,110045,2132,32,96,111111,111111,222441,222505,1.750542,1.609792,0.350417,0.337916,0.051083,3.749333,4.09975,0,,,187
